CentralBank,Total Speeches,Mean Char Count,Median Char Count,Min Char Count,Max Char Count,SD Char Count,Min Year,Max Year
Board of Governors of the Federal Reserve,2658,3246.7076749435664,3051.0,117.0,65479.0,2078.3241908269933,1986,2023
Bulgarian National Bank,264,1541.280303030303,1381.0,283.0,6304.0,849.1426972959318,1999,2023
Cayman Islands Monetary Authority,3,2439.3333333333335,2420.0,2240.0,2658.0,209.66958132579302,2005,2007
Central Bank of Argentina,55,2788.8,2719.0,229.0,6497.0,1497.9752927794827,2004,2023
Central Bank of Armenia,16,770.1875,656.5,203.0,1854.0,436.67122930186275,2006,2023
Central Bank of Aruba,16,2411.6875,2243.5,982.0,4186.0,1083.8114054114767,2004,2023
Central Bank of Bahrain,53,1087.1509433962265,985.0,413.0,1978.0,449.7384451941276,2005,2017
Central Bank of Barbados,164,1495.3353658536585,1113.0,180.0,8305.0,1108.1757090719711,2004,2023
Central Bank of Belize,7,3070.1428571428573,2968.0,975.0,6521.0,1808.330116301725,1991,2017
Central Bank of Bolivia,1,2777.0,2777.0,2777.0,2777.0,,2010,2010
Central Bank of Bosnia and Herzegovina,48,1551.6458333333333,1194.0,378.0,5224.0,1087.5895754663707,1999,2020
Central Bank of Brazil,41,1575.3658536585365,1333.0,289.0,5120.0,1093.6516300014725,1999,2023
Central Bank of Chile,336,3538.4285714285716,3205.5,632.0,14003.0,2002.2881614417774,1998,2023
Central Bank of Costa Rica,6,1345.0,1509.5,633.0,1639.0,385.2526443776863,2012,2021
Central Bank of Curaao and Sint Maarten,126,2404.5,2366.0,321.0,11943.0,1412.0620028879753,1997,2023
Central Bank of Cyprus,134,1998.544776119403,1856.5,327.0,4854.0,1068.7343411554561,2007,2023
Central Bank of Ecuador,1,681.0,681.0,681.0,681.0,,2005,2005
Central Bank of Eswatini,15,2078.6,1121.0,547.0,6166.0,1981.1494787478448,2014,2021
Central Bank of Gambia,1,1338.0,1338.0,1338.0,1338.0,,2006,2006
Central Bank of Hungary,263,278.6197718631179,158.0,111.0,4742.0,566.7296566527278,2006,2022
Central Bank of Iceland,187,2761.5026737967914,2433.0,218.0,28082.0,2389.578791277658,1998,2023
Central Bank of Ireland,728,2901.8502747252746,2785.0,431.0,14839.0,1421.2033341604606,1997,2023
Central Bank of Jordan,1,2819.0,2819.0,2819.0,2819.0,,2010,2010
Central Bank of Kenya,275,1091.389090909091,997.0,321.0,2828.0,439.2615791496608,2007,2023
Central Bank of Kuwait,102,2392.6960784313724,2230.0,497.0,5981.0,1139.5034248443458,1986,2023
Central Bank of Lesotho,5,979.0,818.0,656.0,1379.0,342.8541964159109,2017,2023
Central Bank of Liberia,4,410.0,363.5,299.0,614.0,140.90422278980853,2019,2022
